racerName_1,count,mean,count_rank_1,ratio_rank_1,count_rank_2,ratio_rank_2,count_rank_3,ratio_rank_3,count_rank_4,ratio_rank_4,count_rank_5,ratio_rank_5,count_rank_6,ratio_rank_6,rank_ratio_rank_1
三　宅　　爾　士,26,1.8846153846153846,11.0,0.4230769230769231,9.0,0.34615384615384615,4.0,0.15384615384615385,2.0,0.07692307692307693,0.0,0.0,0.0,0.0,826.0
三　嶌　　誠　司,56,1.7678571428571428,37.0,0.6607142857142857,9.0,0.16071428571428573,2.0,0.03571428571428571,4.0,0.07142857142857142,2.0,0.03571428571428571,2.0,0.03571428571428571,330.0
三　川　　昂　暁,27,1.8518518518518519,17.0,0.6296296296296297,4.0,0.14814814814814814,3.0,0.1111111111111111,0.0,0.0,2.0,0.07407407407407407,1.0,0.037037037037037035,418.0
三　浦　　敬　太,37,1.7027027027027026,30.0,0.8108108108108109,1.0,0.02702702702702703,0.0,0.0,2.0,0.05405405405405406,1.0,0.02702702702702703,3.0,0.08108108108108109,41.0
三　浦　　洋次朗,37,2.108108108108108,21.0,0.5675675675675675,6.0,0.16216216216216217,2.0,0.05405405405405406,2.0,0.05405405405405406,5.0,0.13513513513513514,1.0,0.02702702702702703,528.5
三　浦　　裕　貴,24,2.8333333333333335,5.0,0.20833333333333334,7.0,0.2916666666666667,4.0,0.16666666666666666,3.0,0.125,5.0,0.20833333333333334,0.0,0.0,1116.5
三　瀬　　　　譲,26,2.076923076923077,12.0,0.46153846153846156,5.0,0.19230769230769232,3.0,0.11538461538461539,3.0,0.11538461538461539,1.0,0.038461538461538464,1.0,0.038461538461538464,747.5
三　苫　　晃　幸,21,1.6666666666666667,13.0,0.6190476190476191,4.0,0.19047619047619047,2.0,0.09523809523809523,2.0,0.09523809523809523,0.0,0.0,0.0,0.0,441.5
三　角　　哲　男,58,1.603448275862069,37.0,0.6379310344827587,12.0,0.20689655172413793,5.0,0.08620689655172414,3.0,0.05172413793103448,1.0,0.017241379310344827,0.0,0.0,394.0
三井所　　尊　春,43,1.5116279069767442,28.0,0.6511627906976745,10.0,0.23255813953488372,1.0,0.023255813953488372,2.0,0.046511627906976744,0.0,0.0,1.0,0.023255813953488372,361.5
上　之　　晃　弘,49,2.183673469387755,25.0,0.5102040816326531,10.0,0.20408163265306123,3.0,0.061224489795918366,6.0,0.12244897959183673,1.0,0.02040816326530612,4.0,0.08163265306122448,660.0
上　平　　真　二,61,1.5081967213114753,44.0,0.7213114754098361,8.0,0.13114754098360656,4.0,0.06557377049180328,5.0,0.08196721311475409,0.0,0.0,0.0,0.0,184.0
上　村　　慎太郎,23,2.8260869565217392,3.0,0.13043478260869565,8.0,0.34782608695652173,7.0,0.30434782608695654,2.0,0.08695652173913043,1.0,0.043478260869565216,2.0,0.08695652173913043,1155.0
上　村　　純　一,40,1.875,21.0,0.525,10.0,0.25,2.0,0.05,3.0,0.075,2.0,0.05,1.0,0.025,627.5
上　條　　信　一,22,2.727272727272727,8.0,0.36363636363636365,1.0,0.045454545454545456,5.0,0.22727272727272727,5.0,0.22727272727272727,3.0,0.13636363636363635,0.0,0.0,937.5
上　條　　嘉　嗣,25,1.72,18.0,0.72,3.0,0.12,1.0,0.04,1.0,0.04,0.0,0.0,2.0,0.08,190.0
上　條　　暢　嵩,40,1.5,27.0,0.675,7.0,0.175,2.0,0.05,2.0,0.05,1.0,0.025,0.0,0.0,295.0
上　田　　健　太,25,3.68,6.0,0.24,3.0,0.12,2.0,0.08,3.0,0.12,4.0,0.16,7.0,0.28,1090.5
上　田　　洋　平,39,1.8205128205128205,20.0,0.5128205128205128,11.0,0.28205128205128205,4.0,0.10256410256410256,3.0,0.07692307692307693,1.0,0.02564102564102564,0.0,0.0,654.0
上　田　　隆　章,42,1.5714285714285714,31.0,0.7380952380952381,3.0,0.07142857142857142,5.0,0.11904761904761904,1.0,0.023809523809523808,2.0,0.047619047619047616,0.0,0.0,143.0
上　田　　龍　星,45,1.7555555555555555,29.0,0.6444444444444445,7.0,0.15555555555555556,3.0,0.06666666666666667,0.0,0.0,3.0,0.06666666666666667,2.0,0.044444444444444446,380.0
上　野　　真之介,61,1.2459016393442623,49.0,0.8032786885245902,8.0,0.13114754098360656,2.0,0.03278688524590164,0.0,0.0,1.0,0.01639344262295082,0.0,0.0,46.0
