boatNo_1,boatNo_2,boatNo_3,boatNo_4,boatNo_5,boatNo_6,boat_place2Ratio_1,boat_place2Ratio_2,boat_place2Ratio_3,boat_place2Ratio_4,boat_place2Ratio_5,boat_place2Ratio_6,boat_place3Ratio_1,boat_place3Ratio_2,boat_place3Ratio_3,boat_place3Ratio_4,boat_place3Ratio_5,boat_place3Ratio_6,date,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,raceNumber,venue
 43, 52, 62, 18, 14, 11, 28.68, 39.58, 35.67, 25.55, 31.54, 35.48, 48.84, 55.56, 54.14, 43.07, 50.34, 49.68,2019-06-09, 68, 45, 12, 56, 18, 73, 30.82, 52.94, 28.48, 39.87, 33.73, 33.97, 50.00, 73.20, 50.33, 51.63, 51.81, 56.41,3,　津　
 19, 33, 57, 40, 37, 30,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,2019-06-09, 40, 27, 20, 43, 16, 15,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,3,びわこ
 64, 52, 76, 70, 82, 83, 41.86, 36.11, 36.11, 32.50, 43.48, 51.28, 65.12, 61.11, 50.00, 52.50, 58.70, 58.97,2019-06-09, 10, 19, 63, 79, 11, 71, 35.71, 40.38, 50.00, 38.64, 30.23, 32.00, 54.76, 61.54, 66.67, 52.27, 44.19, 58.00,3,住之江
 21, 72, 60, 68, 30, 51, 33.33, 20.45, 44.59, 37.50, 41.10, 43.42, 44.44, 36.36, 60.81, 47.22, 63.01, 53.95,2019-06-09, 34, 18, 51, 71, 52, 43, 31.73, 30.00, 26.17, 25.47, 44.76, 26.67, 55.77, 48.18, 45.79, 39.62, 60.95, 47.62,3,児　島
 59, 27, 36, 16, 32, 48, 39.23, 30.30, 33.90, 27.69, 41.57, 30.00, 50.83, 52.73, 51.41, 43.08, 59.04, 48.00,2019-06-09, 13, 64, 29, 37, 71, 69, 34.81, 37.28, 40.94, 35.40, 27.98, 28.37, 56.33, 56.21, 57.05, 52.80, 39.88, 40.43,3,宮　島
 61, 19, 13, 18, 41, 73, 24.11, 42.62, 33.33, 28.57, 27.87, 39.13, 36.61, 48.36, 51.67, 46.22, 50.82, 47.83,2019-06-09, 15, 32, 46, 42, 21, 13, 31.58, 50.00, 40.00, 47.37, 13.33, 23.53, 36.84, 65.00, 75.00, 57.89, 33.33, 35.29,3,徳　山
 29, 22, 43, 37, 66, 15, 38.46, 22.00, 38.46, 23.08, 26.92, 40.00, 57.69, 44.00, 53.85, 36.54, 51.92, 54.00,2019-06-09, 55, 40, 32, 20, 49, 11, 24.53, 22.64, 30.51, 32.73, 20.00, 39.62, 39.62, 56.60, 50.85, 49.09, 32.50, 54.72,3,下　関
 45, 57, 24, 39, 75, 53, 38.81, 27.32, 40.20, 33.16, 29.80, 40.10, 58.71, 48.78, 56.37, 46.63, 50.51, 59.90,2019-06-09, 36, 59, 53, 20, 32, 52, 33.33, 32.43, 33.33, 34.48, 45.69, 20.41, 47.15, 51.35, 49.12, 42.24, 67.24, 38.78,3,若　松
 71, 80, 87, 88, 40, 70, 23.53, 40.43, 40.00, 45.83, 34.00, 27.27, 41.18, 63.83, 57.78, 62.50, 40.00, 43.18,2019-06-09, 38, 49, 27, 47, 19, 40, 30.00, 28.02, 25.52, 28.13, 37.31, 30.39, 47.22, 47.80, 42.71, 44.27, 54.92, 46.96,3,唐　津
 68, 35, 38, 47, 28, 31, 35.53, 37.50, 32.09, 31.75, 43.13, 38.46, 48.22, 50.96, 53.49, 51.32, 61.25, 53.37,2019-06-09, 15,  5, 38, 26, 64, 65, 37.17, 35.00, 38.81, 39.11, 29.33, 36.57, 54.45, 55.83, 59.20, 57.43, 45.67, 49.54,4,戸　田
 19, 20, 66, 65, 37, 11, 26.53, 28.19, 32.05, 34.16, 29.63, 39.10, 37.41, 42.95, 53.21, 50.31, 48.15, 54.49,2019-06-09, 31,  3, 58, 45, 66,  2, 23.81, 38.46, 36.36, 39.53, 40.00, 32.50, 52.38, 69.23, 54.55, 55.81, 60.00, 45.00,4,浜名湖
