,date,venue,raceNumber,exhibitionTime_1,exhibitionTime_2,exhibitionTime_3,exhibitionTime_4,exhibitionTime_5,exhibitionTime_6,exhibition_ST_1,exhibition_ST_2,exhibition_ST_3,exhibition_ST_4,exhibition_ST_5,exhibition_ST_6,exhibition_cource_1,exhibition_cource_2,exhibition_cource_3,exhibition_cource_4,exhibition_cource_5,exhibition_cource_6,exhibition_flying_flag_1,exhibition_flying_flag_2,exhibition_flying_flag_3,exhibition_flying_flag_4,exhibition_flying_flag_5,exhibition_flying_flag_6,exhibition_late_flag_1,exhibition_late_flag_2,exhibition_late_flag_3,exhibition_late_flag_4,exhibition_late_flag_5,exhibition_late_flag_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,temperature,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,water_temperature,wave_height,weather,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,wind_speed
22,2019-11-26,多摩川,3,6.7,6.65,6.69,6.67,6.67,6.72,0.06,0.1,0.06,0.03,0.01,0.08,1,2,3,4,5,6.0,1,0,0,0,0,1,0,0,0,0,0,0,吉　田　　　　稔,樋　口　　　　亮,佐　藤　　　　旭,杢　野　　誓　良,福　来　　　　剛,吉　村　　正　明,7.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,15.5,2,雨,52.1,51.0,51.7,51.0,50.5,50.0,2
23,2019-11-26,蒲　郡,3,6.74,6.7,6.7,6.75,6.66,6.69,0.12,0.02,0.02,0.14,0.05,0.08,1,2,4,3,5,6.0,0,0,1,0,1,1,0,0,0,0,0,0,越　智　　照　浩,丹　下　　　　健,内　山　　文　典,倉　谷　　和　信,吉　永　　浩　則,桂　林　　　　寛,11.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,15.0,0,雨,54.6,52.4,54.3,52.4,54.3,51.0,0
24,2019-11-26,　津　,3,6.61,6.65,6.62,6.63,6.62,6.63,0.15,0.12,0.21,0.02,0.03,0.12,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,後　藤　　隼　之,川　崎　　公　靖,村　田　　修　次,寺　本　　重　宣,大久保　　信一郎,村　岡　　　　賢,13.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,14.0,1,曇り,54.0,51.0,51.7,49.5,51.0,52.7,2
25,2019-11-26,三　国,3,6.78,6.78,6.8,6.75,6.75,6.73,0.04,0.05,0.01,0.05,0.04,0.17,1,2,3,4,5,6.0,1,0,0,0,1,0,0,0,0,0,0,0,中　井　　俊　祐,藤　井　　定　美,牧　　　　宏　次,吉　永　　泰　弘,中　山　　将　太,上　村　　宏　太,11.0,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,11.0,3,晴,51.6,51.6,51.7,55.1,52.2,48.0,5
26,2019-11-26,住之江,3,6.77,6.79,6.82,6.88,6.81,6.83,0.14,0.14,0.27,0.04,0.03,0.07,1,2,3,4,5,6.0,0,0,0,1,0,1,0,0,0,0,0,0,喜　多　　那由夏,井　上　　忠　政,山　口　　隆　史,黄金井　　力　良,黒　柳　　浩　孝,森　作　　広　大,14.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,14.0,1,曇り,48.2,51.2,51.0,55.0,54.4,55.8,2
27,2019-11-26,尼　崎,3,6.8,6.77,6.72,6.8,6.77,6.76,0.02,0.1,0.06,0.19,0.08,0.12,1,2,3,4,5,6.0,0,1,1,0,0,0,0,0,0,0,0,0,谷　口　　健　一,福　田　　宗　平,井　上　　　　茂,西　山　　昇　一,一　宮　　稔　弘,柴　田　　友　和,15.2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,14.0,0,晴,53.9,51.2,51.0,51.2,51.0,51.0,1
28,2019-11-26,丸　亀,3,6.72,6.83,6.77,6.81,6.81,6.89,0.14,0.14,0.07,0.02,0.06,0.07,1,2,3,4,5,6.0,1,1,1,0,1,1,0,0,0,0,0,0,原　　　　義　昭,佐　竹　　友　樹,吉　川　　貴　仁,茶　谷　　信　次,森　安　　弘　雅,山　田　　祐　也,15.0,-0.5,-0.5,-0.5,0.0,0.0,-0.5,17.0,2,曇り,54.2,51.5,51.0,51.2,51.0,52.4,2
29,2019-11-26,児　島,3,6.72,6.8,6.56,6.78,6.81,6.71,0.24,0.13,0.1,0.01,0.14,0.06,1,2,3,4,5,6.0,0,1,1,1,1,0,0,0,0,0,0,0,前　田　　紗　希,萬　　　　正　嗣,阪　本　　勇　介,笠　　　　雅　雄,内　堀　　　　学,上　條　　信　一,13.0,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,18.0,1,晴,50.5,53.8,52.2,59.1,51.0,53.4,2
30,2019-11-26,下　関,3,6.69,6.76,6.68,6.73,6.76,6.75,0.16,0.15,0.31,0.03,0.04,0.07,1,2,3,4,5,6.0,0,0,0,0,1,0,0,0,0,0,0,0,広　瀬　　聖　仁,秋　元　　　　哲,島　田　　一　生,溝　口　　海義也,杉　村　　賢　也,武　重　　雄　介,14.0,-0.5,-0.5,-0.5,0.0,-0.5,-0.5,17.0,2,晴,53.1,50.5,53.0,55.1,52.6,54.6,2
31,2019-11-26,芦　屋,3,6.7,6.68,6.68,6.74,6.74,6.73,0.05,0.04,0.01,0.03,0.07,0.05,1,2,3,4,5,6.0,0,1,0,1,0,1,0,0,0,0,0,0,竹　上　　真　司,萩　原　　善　行,藤　丸　　光　一,田　中　　伸　二,高　橋　　真　吾,野　中　　義　生,13.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,15.0,5,晴,51.0,49.5,47.5,52.0,55.0,52.7,5
32,2019-11-26,唐　津,3,6.82,6.93,6.85,6.82,6.85,6.76,0.02,0.03,0.01,0.17,0.04,0.03,1,2,3,4,5,6.0,1,0,1,0,0,1,0,0,0,0,0,0,関　根　　彰　人,小　林　　基　樹,石　橋　　道　友,櫻　井　　　　優,山　本　　梨　菜,大　石　　真　央,14.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,13.0,5,晴,51.8,52.6,52.6,52.0,48.4,47.3,5
33,2019-11-26,多摩川,4,6.74,6.72,6.69,6.64,6.77,6.65,0.13,0.17,0.04,0.07,0.14,0.13,1,2,3,4,6,5.0,1,1,1,1,1,1,0,0,0,0,0,0,青　木　　幸太郎,芹　澤　　克　彦,今　泉　　　　徹,金　田　　　　諭,石　原　　　　光,太　田　　克　哉,7.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,15.5,2,雨,51.4,51.0,51.4,51.0,49.5,50.5,2
34,2019-11-26,蒲　郡,4,6.66,6.74,6.78,6.77,6.76,6.78,0.03,0.04,0.03,0.14,0.12,0.07,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,柳　瀬　　興　志,山　田　　雄　太,木　田　　峰由季,富　永　　正　人,佐　川　　正　道,中　島　　　　航,11.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,15.0,0,雨,56.7,56.1,51.8,51.6,51.0,50.0,0
35,2019-11-26,　津　,4,6.64,6.67,6.62,6.74,6.65,6.69,0.14,0.07,0.03,0.19,0.03,0.04,1,2,3,4,5,6.0,0,0,0,0,1,0,0,0,0,0,0,0,田　中　　　　堅,中　越　　博　紀,松　尾　　　　祭,岡　村　　将　也,野　中　　一　平,小　川　　晃　司,13.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,14.0,1,曇り,51.6,51.0,51.3,53.4,53.5,50.0,2
36,2019-11-26,三　国,4,6.71,6.68,6.83,6.77,6.87,6.78,0.02,0.18,0.05,0.02,0.26,0.07,1,2,3,4,5,6.0,0,0,0,0,0,1,0,0,0,0,0,0,後　藤　　翔　之,大　谷　　直　弘,金　子　　賢　志,立　具　　敬　司,鈴　木　　唯　由,堤　　　　啓　輔,11.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,11.0,4,晴,52.9,51.9,50.5,51.0,50.0,49.5,6
37,2019-11-26,住之江,4,6.77,6.84,6.9,6.84,6.84,6.8,0.19,0.24,0.3,0.21,0.23,0.04,1,4,6,2,3,5.0,0,0,0,0,0,1,0,0,0,0,0,0,森　　　　弘　行,小　森　　信　雄,藤　堂　　里　香,渡　辺　　浩　司,中　林　　秀　人,花　田　　和　明,14.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,14.0,1,曇り,52.3,51.0,44.0,51.0,59.1,51.9,2
38,2019-11-26,尼　崎,4,6.76,6.73,6.77,6.8,6.77,6.71,0.08,0.03,0.09,0.03,0.04,0.01,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,柳　内　　敬　太,里　岡　　右　貴,小　林　　　　泰,河　野　　真　也,野　澤　　大　二,山　本　　稔太朗,15.6,-0.5,-0.5,-0.5,0.0,-0.5,-0.5,14.1,0,晴,50.5,51.0,52.7,51.2,54.1,52.4,3
39,2019-11-26,丸　亀,4,6.84,6.82,6.9,6.78,6.93,6.93,0.17,0.1,0.1,0.18,0.21,0.16,1,3,5,6,2,4.0,1,1,1,1,1,1,0,0,0,0,0,0,河　野　　　　大,中　野　　夢　斗,伏　見　　俊　介,尾　崎　　雄　二,正　木　　聖　賢,木　村　　光　宏,14.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,17.0,2,曇り,50.5,51.0,53.5,53.8,51.7,52.5,2
40,2019-11-26,児　島,4,6.67,6.73,6.77,6.76,6.63,6.74,0.06,0.12,0.07,0.07,0.21,0.1,1,2,3,4,6,5.0,1,1,1,1,1,1,0,0,0,0,0,0,白　石　　浩　二,沖　　　　　　悟,金　田　　幸　子,稗　田　　聖　也,山　本　　浩　輔,柴　田　　　　光,13.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,18.0,1,晴,51.0,51.3,44.5,51.5,51.5,51.4,2
41,2019-11-26,下　関,4,6.66,6.71,6.7,6.67,6.69,6.64,0.06,0.08,0.08,0.11,0.01,0.02,1,2,3,4,5,6.0,0,1,1,0,0,0,0,0,0,0,0,0,村　田　　浩　司,服　部　　達　哉,小　松　　卓　司,別　府　　正　幸,黒　野　　元　基,片　岡　　雅　裕,14.0,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,17.0,2,晴,54.0,55.7,49.0,53.7,51.5,51.0,2
42,2019-11-26,芦　屋,4,6.68,6.7,6.67,6.67,6.75,6.72,0.12,0.16,0.08,0.05,0.18,0.12,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,二　橋　　　　学,山　崎　　　　毅,森　脇　　　　徹,島　川　　光　男,吉　田　　一　郎,宮　内　　由紀英,13.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,15.0,4,晴,50.0,50.5,48.0,52.8,51.1,51.9,4
