date,venue,raceNumber,exhibitionTime_1,exhibitionTime_2,exhibitionTime_3,exhibitionTime_4,exhibitionTime_5,exhibitionTime_6,exhibition_ST_1,exhibition_ST_2,exhibition_ST_3,exhibition_ST_4,exhibition_ST_5,exhibition_ST_6,exhibition_cource_1,exhibition_cource_2,exhibition_cource_3,exhibition_cource_4,exhibition_cource_5,exhibition_cource_6,flying_1,flying_2,flying_3,flying_4,flying_5,flying_6,late_1,late_2,late_3,late_4,late_5,late_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6
2019-05-15,唐　津,10,6.77,6.79,6.77,6.77,6.83,6.68,.11,.30,.09,.07,.16,0.12,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,杉　山　　貴　博,吉　村　　正　明,浅　見　　昌　克,待　鳥　　雄　紀,江　本　　真　治,深　水　　慎一郎,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.8,50.0,51.0,54.2,53.6,52.6
2019-05-15,桐　生,11,6.70,6.66,6.63,6.67,6.66,6.64,.05,.12,.03,.07,.10,0.01,1,4,5,2,3,6.0,0,1,1,1,1,0,0.0,,,,,0.0,山　田　　康　二,上　條　　暢　嵩,中　越　　博　紀,中　田　　竜　太,深　川　　真　二,小　池　　修　平,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,53.4,51.0,51.0,50.5,50.0,51.9
2019-05-15,江戸川,11,6.81,6.84,6.80,6.80,6.83,6.87,.32,.17,.21,.22,.24,0.33,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,岡　村　　　　仁,佐　竹　　恒　彦,池　永　　　　太,加　藤　　高　史,前　出　　達　吉,北　野　　輝　季,0.5,0.5,0.5,0.5,0.5,1.0,53.4,51.0,51.6,51.0,50.5,51.9
2019-05-15,多摩川,11,6.81,6.89,6.89,6.84,6.84,6.77,.01,.01,.12,.01,.06,0.08,1,2,3,4,5,6.0,1,0,1,0,0,0,,0.0,,0.0,0.0,0.0,武　富　　智　亮,梶　野　　学　志,松　浦　　博　人,原　田　　篤　志,後　藤　　隼　之,小　川　　知　行,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.0,51.0,55.9,51.0,53.1,53.1
2019-05-15,　津　,11,6.74,6.72,6.66,6.71,6.73,6.73,.05,.16,.13,.29,.06,0.14,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,新　田　　雄　史,中　島　　孝　平,上　野　　真之介,江　夏　　　　満,辻　　　　栄　蔵,太　田　　和　美,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,52.7,51.0,51.2,52.5,51.4,53.2
2019-05-15,三　国,11,6.87,6.75,6.78,6.86,6.88,6.91,.08,.06,.03,.06,.02,0.06,1,2,3,4,5,6.0,0,1,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,安　東　　幸　治,清　水　　紀　克,野　添　　貴　裕,岡　部　　貴　司,稗　田　　聖　也,野　中　　義　生,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,53.2,54.2,52.9,52.7,51.4,52.3
2019-05-15,住之江,11,6.73,6.83,6.75,6.83,6.90,6.84,.19,.02,.18,.01,.01,0.05,1,2,3,4,5,6.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,,0.0,山　本　　寛　久,森　　　　竜　也,末　永　　祐　輝,上　條　　嘉　嗣,藤　田　　竜　弘,平　田　　さやか,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.0,51.6,51.0,53.9,57.4,50.2
2019-05-15,児　島,11,6.68,6.66,6.70,6.79,6.81,6.76,.14,.12,.14,.07,.13,0.01,1,2,3,5,6,4.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,,守　屋　　美　穂,土　屋　　　　南,樋　口　　由加里,遠　藤　　エ　ミ,戸　敷　　晃　美,西　村　　美智子,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,45.5,47.1,45.0,45.5,47.1,48.9
2019-05-15,下　関,11,6.74,6.82,6.84,6.89,6.80,6.79,.15,.07,.06,.20,.03,0.11,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,佐　藤　　　　翼,貞　兼　　淳　二,南　　　　佑　典,川　尻　　泰　輔,小　林　　孝　弘,椎　原　　　　健,-0.5,-0.5,0.0,-0.5,0.0,0.0,51.1,57.3,51.0,54.7,50.5,50.5
2019-05-15,福　岡,11,6.89,6.94,6.91,6.96,6.94,6.92,.29,.24,.49,.18,.10,0.05,1,6,2,3,4,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,金　子　　龍　介,金　子　　貴　志,近　江　　翔　吾,林　　　　恵　祐,白　井　　友　晴,上　平　　真　二,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,50.5,50.0,51.4,56.2,51.0,52.1
